id,Название,Цена со скидкой/Полная цена если скидки нет,Цена без скидки/Пусто если скидки нет,Бренд,Ссылка
 624869,"Кофе Fresco Arabica Blend натуральный растворимый, 100г",249,297,ORIGO,https://online.metro-cc.ru/products/fresco-naturalnyj-arabica-blend-100g
 598959,"Кофе Ambassador Platinum растворимый, 190г",529,639,EGOISTE,https://online.metro-cc.ru/products/ambassador-platinum-190g
 218717,"Кофе в капсулах Absolut Drive Espresso Original для кофемашин Dolce Gusto16шт, 96г",359,429,POETTI,https://online.metro-cc.ru/products/16shth6g-kofe-absolut-espresso-kapsuly-dg
 119135,"Кофе в капсулах Lebo Espresso Collection для кофемашин Nespresso 40шт, 220г",1 469,,JARDIN,https://online.metro-cc.ru/products/40shth55g-kofe-lebo-espresso-collection-banka
 228440,"Кофе Carraro Crema Italiano в зернах, 1кг",1 749,,VERLE,https://online.metro-cc.ru/products/v-zernah-caffe-carraro-crema-italiano-1-kg
 223097,"Кофе Fresco Arabica Solo растворимый, 190г",619,,ABSOLUT,https://online.metro-cc.ru/products/kofe-fresco-arabica-solo-rastvorimyy-190g
 221905,"Напиток кофейный Nescafe Cappuccino порционный растворимый (18г x 20шт), 360г",419,589,CARRARO,https://online.metro-cc.ru/products/20shth18g-kofeynyy-nap-nescafe-kapuchino-ports-rastv
 230024,"Кофе Julius Meinl Melange Венская коллекция молотый, 220г",549,739,ILLY,https://online.metro-cc.ru/products/kofe-julius-meinl-melange-venskaya-kollektsiya-molotyy-220g
 459849,"Кофе Bushido Red Katana растворимый сублимированный, 100г",789,859,JARDIN,https://online.metro-cc.ru/products/art_508637
 228421,"Кофе Monarch Лесной орех растворимый, 95г",509,,VERLE,https://online.metro-cc.ru/products/95g-kofe-monarch-lesnoy-oreh-rastvorimyy-st
 221902,"Кофе Monarch карамель растворимый, 95г",509,,CARRARO,https://online.metro-cc.ru/products/95g-kofe-monarch-karamel-rastvorimyy-st
 70170,"Кофе Bushido Sensei в зернах, 227г",599,,NESCAFE,https://online.metro-cc.ru/products/bushido-sensei-227g
 228419,"Кофе Monarch Day&Night декофеинизированный растворимый, 95г",339,389,VERLE,https://online.metro-cc.ru/products/kofe-monarch-daynight-dekofeinizirovannyy-rastvorimyy-95g
 224712,"Кофе в капсулах Lebo Espresso Italiano для кофемашин Nespresso 40шт, 220г",1 299,,MONARCH,https://online.metro-cc.ru/products/40shth55g-kofe-lebo-espresso-italiano-banka
