id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 228230,"Кофе Жокей Триумф растворимый, 75г",199,,JARDIN,https://online.metro-cc.ru/products/75g-kofe-zhokey-triumf-rastvorimyy
 118531,"Кофе в капсулах Lebo Latte macchiato для кофемашин Dolce Gusto 16шт, 172г",849,,JACOBS,https://online.metro-cc.ru/products/8shth65g8shth15g-kofe-lebo-latte-macchiato-v-kapsulah
 218638,"Кофе Fresco Arabica blend растворимый, 190г",709,,NESCAFE,https://online.metro-cc.ru/products/kofe-fresco-arabica-blend-rastvorimyy-190g
 598758,"Кофе Черная Карта молотый для турки, 250г",291,,JACOBS,https://online.metro-cc.ru/products/250-kofe-chernaya-karta-molotyy-dlya-turki
 611605,"Кофе в капсулах Jacobs Lungo 8 Intenso для кофемашин Nespresso 10шт, 52г",419,,ILLY,https://online.metro-cc.ru/products/10shth52g-kofe-jacobs-lungo-8-intenso-v-kapsulah
 120797,"Кофе Poetti Leggenda Original в зернах, 250г",539,,JACOBS,https://online.metro-cc.ru/products/250g-kofe-poetti-leggenda-original-v-zernah
 119130,"Кофе в капсулах L’or Espresso Splendente для кофемашин Nespresso 10шт, 52г",529,,ЖОКЕЙ,https://online.metro-cc.ru/products/lor-espresso-52-g
 218718,"Кофе в капсулах L’or Espresso Forza для кофемашин Nespresso 10шт, 52г",529,,POETTI,https://online.metro-cc.ru/products/l-rsquoor-espr-forza-52-g
 231667,"Кофе Julius Meinl Prasident молотый, 250г",529,,MONARCH,https://online.metro-cc.ru/products/julius-meinl-president-classic-collection-250g
 119131,"Кофе Jacobs Gold растворимый сублимированный, 95г",499,,ЖОКЕЙ,https://online.metro-cc.ru/products/jacobs-sublimirovannyj-gold-95g
 201564,"Кофе Monarch Brazilian Selection молотый, 230г",499,,JACOBS,https://online.metro-cc.ru/products/230g-kofe-monarch-brazilian-selection-molotyy
 581766,"Кофе Monarch Original жареный молотый, 230г",509,,CARTE NOIRE,https://online.metro-cc.ru/products/230g-kofe-monarch-original-zharenyy-molotyy
 655857,"Кофе Carte Noire Original молотый, 230г",449,529,JACOBS,https://online.metro-cc.ru/products/230g-kofe-carte-noire-original-molotyy
 234805,"Кофе Жокей классический 3в1 растворимый (12г x 50шт), 600г",429,499,ЖОКЕЙ,https://online.metro-cc.ru/products/kofe-zhokey-klassicheskiy-3v1-rastvorimyy-12g-x-50sht-600g
 201556,"Кофе Verle Africa в дрип-пакетах 6шт, 66г",429,,CARTE NOIRE,https://online.metro-cc.ru/products/6shth11g-kofe-verle-africa-v-drip-paketah
 122743,"Кофе MacCoffee Arabica растворимый, 100г",259,,NESCAFE,https://online.metro-cc.ru/products/100g-kofe-maccoffee-arabica-rastvorimyy-stb
 555873,"Кофе Jardin Gold растворимый, 95г",329,,LAVAZZA,https://online.metro-cc.ru/products/95g-kofe-jardin-gold-rastvorimyy-stb
 224709,"Кофе Ambassador Platinum растворимый, 150г",399,429,MONARCH,https://online.metro-cc.ru/products/ambassador-platinum-150g
 482361,"Кофе Tchibo Gold selection молотый, 250г",379,,AMBASSADOR,https://online.metro-cc.ru/products/250g-kofe-tchibo-gold-selection-molotyy
 104611,"Кофе Monarch Original растворимый, 47.5г",199,239,JULIUS MEINL,https://online.metro-cc.ru/products/475g-kofe-monarch-original-rastvorimyy-st
 14955,"Кофе Черная Карта Brasilia Exclusive растворимый сублимированный, 95г",369,,JACOBS,https://online.metro-cc.ru/products/chernaya-karta-sublimirovannyj-brasilia-exclusive-95g
 637205,"Кофе Jardin Original Oro молотый, 250г",579,,L'OR,https://online.metro-cc.ru/products/250g-kofe-jardin-original-oro-molotyy
 228243,"Кофе MacCoffee Gold растворимый, 100г",247,,ЖОКЕЙ,https://online.metro-cc.ru/products/100g-kofe-maccoffee-gold-rastvorimyy-stb
 599055,"Кофе Jardin Колумбия Меделлин растворимый, 75г",249,,ЖОКЕЙ,https://online.metro-cc.ru/products/75g-kofe-jardin-kolumbiya-medellin-rastvorimyy
 615407,"Кофе Жокей Импер растворимый, 95г",239,,JARDIN,https://online.metro-cc.ru/products/art_599055
 8486,"Кофе Жокей Imperial растворимый, 75г",199,,RIOBA,https://online.metro-cc.ru/products/75g-kofe-zhokey-imper-rastvorimyy
 226524,"Кофе Жокей Триумф растворимый сублимированный, 95г",279,,MACCOFFEE,https://online.metro-cc.ru/products/zhokej-triumf-95g
 132215,"Кофе Alta Roma Caffe Latte молотый, 250г",289,,JACOBS,https://online.metro-cc.ru/products/kofe-alta-roma-caffe-latte-molotiy-250g
 229162,"Кофе Jardin Гватемала Атитлан растворимый, 75г",229,,TCHIBO,https://online.metro-cc.ru/products/75g-kofe-jardin-gvatemala-atitlan-rastvorimyy
 228236,"Кофе Jardin Эспрессо ди Милано в зернах, 1кг",1 399,1 479,JARDIN,https://online.metro-cc.ru/products/jardin-v-zernah-naturalnyj-zharenyj-espresso-di-milano-1kg
 119134,"Кофе Egoiste Voyage в зернах, 1кг",2 649,,JARDIN,https://online.metro-cc.ru/products/1kg-kofe-egoiste-voyage-v-zernah
 226346,"Кофе Jacobs Monarch растворимый, 270г",1 199,,LEBO,https://online.metro-cc.ru/products/270g-jacobs-monarch
 227971,"Кофе Carte Noire Intense Absolu в зернах, 800г",2 199,,FRESCO,https://online.metro-cc.ru/products/800g-kofe-carte-noire-intense-absolu-zernovoy
 226350,"Кофе Nescafe Gold растворимый сублимированный, 500г",1 829,,JACOBS,https://online.metro-cc.ru/products/nescafe-sublimirovannyj-gold-500g
 221904,"Кофе в капсулах L’or Espresso Ristretto для кофемашин Nespresso 10шт, 52г",529,,CARRARO,https://online.metro-cc.ru/products/l-rsquoor-ristretto-52-g
